City_ID,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
278,Mackay,AU,1621323698,-21.15,149.2,75,78,72.68,18.41
279,Bathsheba,BB,1621323699,13.2167,-59.5167,20,80,81.21,12.48
280,Klæbu,NO,1621323699,63.2976,10.4826,100,90,49.05,4.76
281,Bartlesville,US,1621323700,36.7473,-95.9808,75,95,69.12,0.0
282,Lata,PT,1621323700,40.1629,-8.3327,76,69,63.05,1.88
283,Muroto-misakicho,JP,1621323700,33.2833,134.15,100,95,71.64,8.43
284,Oriximiná,BR,1621323701,-1.7656,-55.8661,100,97,72.88,4.14
285,Ouégoa,NC,1621323701,-20.35,164.4333,100,76,75.24,12.97
286,Kokkola,FI,1621323701,63.8385,23.1307,75,88,55.56,3.47
287,Nizhniy Kuranakh,RU,1621323702,58.8353,125.4869,100,39,39.72,7.9
288,Manzhouli,CN,1621323702,49.6,117.4333,63,31,60.76,17.83
289,Envira,BR,1621323703,-7.3,-70.2167,91,98,70.54,0.78
290,Salinópolis,BR,1621323703,-0.6136,-47.3561,98,92,75.22,3.85
291,Pierre,US,1621323703,44.3683,-100.351,90,88,59.99,5.99
292,Kinablangan,PH,1621323704,7.6947,126.5503,100,91,78.87,4.23
293,Narsaq,GL,1621323704,60.9167,-46.05,97,60,35.82,4.12
294,Labuhan,ID,1621323705,-6.8844,112.2051,96,57,88.43,4.14
295,Shakawe,BW,1621323705,-18.3667,21.85,0,22,75.43,6.35
296,Bonthe,SL,1621323706,7.5264,-12.505,73,82,81.34,2.04
297,Krasnosel'kup,RU,1621323706,65.7,82.4667,7,52,34.54,12.93
298,Neryungri,RU,1621323706,56.6709,124.6491,100,53,33.75,14.03
299,Karratha,AU,1621323707,-20.7377,116.8463,35,34,80.38,11.97
300,Beni Mazar,EG,1621323707,28.4962,30.8029,0,25,83.66,16.51
301,Anadyr,RU,1621323707,64.75,177.4833,40,86,34.3,20.0
302,Nhulunbuy,AU,1621323708,-12.2333,136.7667,40,65,84.81,11.5
303,Hudson Bay,CA,1621323708,52.85,-102.3842,81,46,68.34,15.14
304,Lompoc,US,1621323701,34.6391,-120.4579,90,77,56.57,8.05
305,Palmeira das Missões,BR,1621323709,-27.8994,-53.3136,8,90,48.36,3.83
306,Kilrush,IE,1621323709,52.6397,-9.4833,8,84,52.88,6.24
307,Baruun-Urt,MN,1621323710,46.6806,113.2792,99,44,64.15,14.45
308,Pangnirtung,CA,1621323710,66.1451,-65.7125,100,80,35.8,17.87
309,Gunnedah,AU,1621323710,-30.9833,150.25,0,60,58.62,3.0
310,Tuatapere,NZ,1621323711,-46.1333,167.6833,100,87,44.82,14.07
311,Khandyga,RU,1621323711,62.6667,135.6,100,29,45.3,3.74
312,Boali,CF,1621323712,4.8005,18.1275,100,96,73.27,4.54
313,Poronaysk,RU,1621323712,49.2167,143.1167,0,50,59.45,15.48
314,Sorong,ID,1621323616,-0.8833,131.25,100,82,81.25,6.51
315,Yumen,CN,1621323713,40.2833,97.2,91,22,69.8,27.58
316,Rome,US,1621323671,43.2128,-75.4557,1,88,55.9,3.44
317,Anzio,IT,1621323443,41.4853,12.6179,59,57,70.02,3.0
319,Oistins,BB,1621323714,13.0667,-59.5333,20,65,80.69,19.57
